;США;Великобритания;Китай;Россия;Германия;Япония;Франция
2008 Пекин;36;19;51;23;16;9;7
2012 Лондон;46;29;38;22;11;7;11
2016 Рио-де-Жанейро;46;27;26;19;17;12;10
2020 Токио;39;22;38;20;10;27;10
